date,age_grp,gender,card_cnt
5/17/2016,66_abv,F,1
5/17/2016,66_abv,M,1
5/18/2016,20_39,M,1
5/18/2016,40_65,F,3
5/18/2016,40_65,M,1
5/18/2016,66_abv,F,2
5/18/2016,66_abv,M,1
5/20/2016,20_39,F,1
5/20/2016,40_65,F,2
5/20/2016,66_abv,F,3
5/20/2016,66_abv,M,1
5/21/2016,40_65,F,2
5/21/2016,40_65,M,3
5/21/2016,66_abv,M,1
5/22/2016,40_65,F,1
5/22/2016,66_abv,F,2
5/22/2016,66_abv,M,2
5/23/2016,20_39,F,1
5/23/2016,66_abv,F,1
5/24/2016,20_39,F,1
5/24/2016,40_65,F,3
5/24/2016,40_65,M,3
5/24/2016,66_abv,F,1
5/24/2016,66_abv,M,1
5/25/2016,20_39,F,1
5/25/2016,40_65,F,1
5/25/2016,40_65,M,2
5/25/2016,66_abv,F,2
5/25/2016,66_abv,M,1
5/26/2016,20_39,M,2
5/26/2016,66_abv,F,1
5/26/2016,66_abv,M,1
5/27/2016,20_39,F,1
5/27/2016,40_65,M,1
5/27/2016,66_abv,F,1
5/27/2016,66_abv,M,1
5/28/2016,20_39,M,1
5/28/2016,66_abv,F,1
5/28/2016,66_abv,M,1
5/30/2016,40_65,F,1
5/30/2016,66_abv,F,3
5/31/2016,40_65,F,1
5/31/2016,40_65,M,2
6/1/2016,40_65,F,1
6/1/2016,66_abv,F,1
6/2/2016,40_65,M,1
6/3/2016,40_65,F,3
6/3/2016,40_65,M,3
6/3/2016,66_abv,F,1
6/4/2016,20_39,M,1
6/4/2016,66_abv,F,1
6/4/2016,66_abv,M,1
6/5/2016,40_65,F,1
6/5/2016,66_abv,F,1
6/5/2016,66_abv,M,1
6/6/2016,20_39,F,2
6/6/2016,40_65,F,2
6/6/2016,40_65,M,1
6/6/2016,66_abv,F,1
6/7/2016,40_65,F,1
6/7/2016,40_65,M,2
6/7/2016,66_abv,F,1
6/8/2016,40_65,F,2
6/8/2016,40_65,M,1
6/8/2016,66_abv,M,2
6/9/2016,40_65,F,1
6/9/2016,66_abv,F,1
6/10/2016,40_65,F,1
6/10/2016,40_65,M,2
6/10/2016,66_abv,F,1
6/11/2016,40_65,F,1
6/11/2016,66_abv,F,2
6/11/2016,66_abv,M,2
6/12/2016,66_abv,M,2
6/13/2016,40_65,M,1
6/13/2016,66_abv,F,1
6/13/2016,66_abv,M,2
6/14/2016,40_65,F,2
6/14/2016,40_65,M,1
6/14/2016,66_abv,F,1
6/15/2016,20_39,F,1
6/15/2016,40_65,M,1
6/16/2016,40_65,M,1
6/16/2016,66_abv,F,2
